day, name, clicks
2022-01-1,Marina Nguyen,988
2022-01-1,Carlo Caldwell,644
2022-01-1,Dan Shannon,599
2022-01-1,Abel Valdez,377
2022-01-1,Elise Hodge,67
2022-01-1,Allan Kaufman,288
2022-01-1,Stacey Myers,645
2022-01-1,Myrtle Ali,513
2022-01-1,Lucille OConnor,506
2022-01-1,Lorna Hodges,911
2022-01-1,Guy Kemp,984
2022-01-1,Yasin Rowland,376
2022-01-1,Cecily Pham,658
2022-01-1,Mollie Frank,743
2022-01-2,Minnie Combs,9
2022-01-2,Theo Bonner,94
2022-01-2,Carlo Caldwell,306
2022-01-2,Darren Zimmerman,877
2022-01-2,Hector Jacobs,73
2022-01-2,Francesca Dotson,324
2022-01-2,Safa Lamb,12
2022-01-2,Allan Kaufman,718
2022-01-2,Stacey Myers,162
2022-01-2,Myrtle Ali,584
2022-01-2,Lucille OConnor,270
2022-01-2,Oakley Sosa,850
2022-01-2,Guy Kemp,686
2022-01-2,Jared Carrillo,587
2022-01-2,Yasin Rowland,913
2022-01-3,Minnie Combs,508
2022-01-3,Marina Nguyen,196
2022-01-3,Theo Bonner,673
2022-01-3,Dan Shannon,42
2022-01-3,Francesca Dotson,649
2022-01-3,Safa Lamb,457
2022-01-3,Allan Kaufman,185
2022-01-3,Lukas Pineda,279
2022-01-3,Lorna Hodges,675
2022-01-3,Oakley Sosa,811
2022-01-3,Brendan Copeland,618
2022-01-3,Guy Kemp,660
2022-01-3,Leo Alexander,674
2022-01-3,Ricardo Alvarez,146
2022-01-3,Mollie Frank,872
2022-01-4,Minnie Combs,838
2022-01-4,Trinity Pena,519
2022-01-4,Theo Bonner,55
2022-01-4,Carlo Caldwell,214
2022-01-4,Darren Zimmerman,108
2022-01-4,Francesca Dotson,872
2022-01-4,Safa Lamb,738
2022-01-4,Elise Hodge,661
2022-01-4,Allan Kaufman,202
2022-01-4,Lucille OConnor,810
2022-01-4,Oakley Sosa,27
2022-01-4,Jared Carrillo,325
2022-01-4,Leighton Austin,175
2022-01-4,Ricardo Alvarez,516
2022-01-5,Marina Nguyen,864
2022-01-5,Carlo Caldwell,497
2022-01-5,Hector Jacobs,703
2022-01-5,Myrtle Ali,767
2022-01-5,Lukas Pineda,212
2022-01-5,Lorna Hodges,351
2022-01-5,Christian Knight,196
2022-01-5,Ismail Harmon,685
2022-01-5,Leo Alexander,770
2022-01-5,Yasin Rowland,386
2022-01-5,Mollie Frank,727
2022-01-6,Minnie Combs,281
2022-01-6,Trinity Pena,637
2022-01-6,Carlo Caldwell,430
2022-01-6,Dan Shannon,825
2022-01-6,Abel Valdez,576
2022-01-6,Myrtle Ali,724
2022-01-6,Oakley Sosa,78
2022-01-6,Christian Knight,94
2022-01-6,Guy Kemp,313
2022-01-6,Jared Carrillo,987
2022-01-6,Leighton Austin,424
2022-01-7,Minnie Combs,730
2022-01-7,Trinity Pena,141
2022-01-7,Theo Bonner,326
2022-01-7,Carlo Caldwell,79
2022-01-7,Dan Shannon,878
2022-01-7,Francesca Dotson,360
2022-01-7,Safa Lamb,855
